Token 				| Token ID 		| ST Position
----------------------------
cardsAre             | 39         | [-1,-1]   
int                  | 32         | [-1,-1]   
yo                   | 42         | [-1,-1]   
IDENT: { max }       | 1          | [6,0]     
IDENT: { hasRulee }  | 1          | [5,0]     
CONST: { -10c00 }    | 0          | [7,0]     
readRulesFor         | 26         | [-1,-1]   
(                    | 16         | [-1,-1]   
IDENT: { a }         | 1          | [7,0]     
)                    | 17         | [-1,-1]   
IDENT: { b }         | 1          | [8,0]     
IDENT: { c }         | 1          | [9,0]     
if                   | 28         | [-1,-1]   
>=                   | 13         | [-1,-1]   
&&                   | 7          | [-1,-1]   
hasRule              | 41         | [-1,-1]   
itsDone              | 43         | [-1,-1]   
else                 | 29         | [-1,-1]   
uno                  | 27         | [-1,-1]   
